"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"전국","여자","0세","주민등록연앙인구","","118757",
"전국","여자","1세","주민등록연앙인구","","116665",
"전국","여자","2세","주민등록연앙인구","","119641",
"전국","여자","3세","주민등록연앙인구","","127549.5",
"전국","여자","4세","주민등록연앙인구","","133655.5",
"전국","여자","5세","주민등록연앙인구","","143863.5",
"전국","여자","6세","주민등록연앙인구","","156837",
"전국","여자","7세","주민등록연앙인구","","169962.5",
"전국","여자","8세","주민등록연앙인구","","189618",
"전국","여자","9세","주민등록연앙인구","","209550",
"전국","여자","10세","주민등록연앙인구","","216108.5",
"전국","여자","11세","주민등록연앙인구","","215327",
"전국","여자","12세","주민등록연앙인구","","227007.5",
"전국","여자","13세","주민등록연앙인구","","235215.5",
"전국","여자","14세","주민등록연앙인구","","230627",
"전국","여자","15세","주민등록연앙인구","","223298.5",
"전국","여자","16세","주민등록연앙인구","","222322.5",
"전국","여자","17세","주민등록연앙인구","","233972",
"전국","여자","18세","주민등록연앙인구","","228687.5",
"전국","여자","19세","주민등록연앙인구","","213325",
"전국","여자","20세","주민등록연앙인구","","218710.5",
"전국","여자","21세","주민등록연앙인구","","231963",
"전국","여자","22세","주민등록연앙인구","","235877.5",
"전국","여자","23세","주민등록연앙인구","","251165",
"전국","여자","24세","주민등록연앙인구","","285531.5",
"전국","여자","25세","주민등록연앙인구","","299686",
"전국","여자","26세","주민등록연앙인구","","299732",
"전국","여자","27세","주민등록연앙인구","","313108.5",
"전국","여자","28세","주민등록연앙인구","","322952",
"전국","여자","29세","주민등록연앙인구","","328077.5",
"전국","여자","30세","주민등록연앙인구","","332425.5",
"전국","여자","31세","주민등록연앙인구","","332000",
"전국","여자","32세","주민등록연앙인구","","336631.5",
"전국","여자","33세","주민등록연앙인구","","337519",
"전국","여자","34세","주민등록연앙인구","","316755.5",
"전국","여자","35세","주민등록연앙인구","","300930",
"전국","여자","36세","주민등록연앙인구","","299870",
"전국","여자","37세","주민등록연앙인구","","299164",
"전국","여자","38세","주민등록연앙인구","","300538",
"전국","여자","39세","주민등록연앙인구","","307957",
"전국","여자","40세","주민등록연앙인구","","317800.5",
"전국","여자","41세","주민등록연앙인구","","341480",
"전국","여자","42세","주민등록연앙인구","","380781.5",
"전국","여자","43세","주민등록연앙인구","","402510",
"전국","여자","44세","주민등록연앙인구","","405460",
"전국","여자","45세","주민등록연앙인구","","404739",
"전국","여자","46세","주민등록연앙인구","","374310.5",
"전국","여자","47세","주민등록연앙인구","","362921.5",
"전국","여자","48세","주민등록연앙인구","","373944",
"전국","여자","49세","주민등록연앙인구","","375629.5",
"전국","여자","50세","주민등록연앙인구","","398628.5",
"전국","여자","51세","주민등록연앙인구","","424408.5",
"전국","여자","52세","주민등록연앙인구","","432097",
"전국","여자","53세","주민등록연앙인구","","439917.5",
"전국","여자","54세","주민등록연앙인구","","446727",
"전국","여자","55세","주민등록연앙인구","","444474.5",
"전국","여자","56세","주민등록연앙인구","","449050",
"전국","여자","57세","주민등록연앙인구","","437694.5",
"전국","여자","58세","주민등록연앙인구","","402482.5",
"전국","여자","59세","주민등록연앙인구","","396602",
"전국","여자","60세","주민등록연앙인구","","406291",
"전국","여자","61세","주민등록연앙인구","","388415.5",
"전국","여자","62세","주민등록연앙인구","","398295",
"전국","여자","63세","주민등록연앙인구","","431321.5",
"전국","여자","64세","주민등록연앙인구","","446549",
"전국","여자","65세","주민등록연앙인구","","431829.5",
"전국","여자","66세","주민등록연앙인구","","394345",
"전국","여자","67세","주민등록연앙인구","","373134.5",
