학교명,주소,위도,경도
경기기계공업고등학교,서울특별시 노원구 공릉로 264,37.63224005,127.0749285
경기대명고등학교,경기도 수원시 권선구 수인로598번길 3-24,37.29601975,126.939985
경기모바일과학고등학교,경기도 안산시 상록구 남산평길 35,37.30556825,126.8981471
경기물류고등학교,경기도 평택시 안중읍 안현로 403,36.9869058,126.9296362
경기북과학고등학교,경기도 의정부시 체육로135번길 32,37.7588324,127.0196447
경기상업고등학교,서울특별시 종로구 자하문로 136,37.58925853,126.9700571
경기세무고등학교,경기도 파주시 적성면 솥뒤로33번길 60,37.95431778,126.9145345
경기스마트고등학교,경기도 시흥시 정왕천로 404,37.34323883,126.7523469
경기여자고등학교,서울특별시 강남구 삼성로 29,37.48691516,127.065453
경기영상과학고등학교,경기도 고양시 일산서구 강선로 8,37.66540546,126.7621008
경기예술고등학교,경기도 부천시 석천로209번길 37,37.50575359,126.7613615
경기외국어고등학교,경기도 의왕시 고산로105번길 30,37.34807009,126.9597494
경기자동차과학고등학교,경기도 시흥시 금오로 103,37.41429863,126.8398538
경기창조고등학교,경기도 안성시 공도읍 공도5로 37,37.00193973,127.1723586
경기체육고등학교,경기도 수원시 장안구 상률로 106,37.30395971,126.9785339
경기폴리텍고등학교,경기도 군포시 고산로 524,37.36019041,126.9243504
경기항공고등학교,경기도 광명시 새터안로 20,37.47331347,126.8570351
경남간호고등학교,경상남도 산청군 생비량면 지리산대로4763번길 89-15,35.35804061,128.0843307
경남고등학교,부산광역시 서구 망양로111번길 65,35.1201981,129.0200404
경남공업고등학교,부산광역시 부산진구 전포대로175번길 22,35.15334824,129.0636388
경남과학고등학교,경상남도 진주시 진성면 진의로 178-22,35.20163805,128.2253125
경남관광고등학교,경상남도 창원시 의창구 사림로29번길 12,35.2485272,128.6752628
경남로봇고등학교,경상남도 함안군 대산면 대산중앙로 102-2,35.34795693,128.4392206
경남산업고등학교,경상남도 거제시 하청면 서리1길 17,34.95343564,128.6539234
경남여자고등학교,부산광역시 동구 수정중로 29,35.13292384,129.0439489
경남예술고등학교,경상남도 진주시 진산로322번길 11-7,35.21654607,128.1032775
경남외국어고등학교,경상남도 양산시 어실로 388,35.39712542,129.0134242
경남자동차고등학교,경상남도 진주시 진산로 378,35.21943516,128.1015361
경남자영고등학교,경상남도 사천시 정동면 옥산로 143,35.07844229,128.1004126
경남정보고등학교,경상남도 진주시 가호방아길 32,35.15788733,128.1168163
경남체육고등학교,경상남도 진주시 진성면 진의로 178-27,35.20369991,128.221603
경남항공고등학교,경상남도 고성군 고성읍 송학고분로 127,34.97853358,128.3073889
경남해양과학고등학교,경상남도 남해군 삼동면 동부대로 1810,34.83089787,128.004177
경덕여자고등학교,대구광역시 서구 국채보상로34길 50,35.86357119,128.5489381
경동고등학교,서울특별시 성북구 보문로29길 49,37.58660133,127.0160317
경명여자고등학교,대구광역시 북구 칠성로17길 18,35.88072706,128.5984327
경문고등학교,서울특별시 동작구 동작대로 171,37.49341886,126.9822734
경민IT고등학교,경기도 의정부시 서부로 545,37.74612458,127.0251316
경민고등학교,경기도 의정부시 서부로 545,37.74612458,127.0251316
경민비즈니스고등학교,경기도 의정부시 서부로 545,37.74612458,127.0251316
경복고등학교,서울특별시 종로구 자하문로28가길 9,37.58594567,126.9715109
경복비즈니스고등학교,서울특별시 강서구 화곡로 379,37.55802536,126.8526703
경복여자고등학교,서울특별시 강서구 화곡로63길 40,37.55782183,126.8505957
경북고등학교,대구광역시 수성구 청호로 300,35.84474469,128.6416344
경북공업고등학교,대구광역시 중구 남산로 20,35.85851368,128.5835008
경북과학고등학교,경상북도 포항시 북구 우미길 93,36.04683033,129.3515854
경북과학기술고등학교,경상북도 김천시 아포읍 아포대로 1053,36.15917383,128.2429083
경북기계공업고등학교,대구광역시 달서구 월배로 275,35.8221127,128.5424753
경북기계금속고등학교,경상북도 경산시 자인면 일연로 93,35.81989055,128.8217723
경북기계명장고등학교,경상북도 칠곡군 지천면 신동로 99,35.95847599,128.483912
경북대학교사범대학부설고등학교,대구광역시 중구 달구벌대로 2178,35.8625154,128.6006135
경북드론고등학교,경상북도 청도군 풍각면 헐티로 185,35.64122493,128.6207782
경북생활과학고등학교,경상북도 구미시 해평면 강동로 1654,36.19960113,128.3922014
경북세무고등학교,경상북도 포항시 북구 기계면 기계로 218,36.07733326,129.1960916
경북소프트웨어고등학교,경상북도 의성군 봉양면 봉호로 14,36.3031493,128.5849448
경북식품과학마이스터고등학교,경상북도 영천시 신녕면 찰방길 8,36.04302173,128.7804921
경북여자고등학교,대구광역시 중구 중앙대로 288,35.85842716,128.5922004
경북여자상업고등학교,대구광역시 남구 명덕로38길 36,35.85494162,128.5887495
경북예술고등학교,대구광역시 남구 중앙대로47길 30,35.85458674,128.5885265
경북외국어고등학교,경상북도 구미시 금오산로 198-10,36.12450267,128.3220899
경북일고등학교,경상북도 예천군 호명면 행복로 193,36.57917448,128.484984
경북자연과학고등학교,경상북도 상주시 공성면 문화마을길 23,36.27931281,128.0942764
경북조리과학고등학교,경상북도 문경시 문경읍 향교길 20,36.73901645,128.1145085
경북체육고등학교,경상북도 경산시 경안로 43,35.81222619,128.7380534
경북하이텍고등학교,경상북도 안동시 경동로 404,36.56955793,128.7018415
경북항공고등학교,경상북도 영주시 풍기읍 금계로 90,36.88033832,128.5266682
경산고등학교,경상북도 경산시 원효로 89,35.82428626,128.7484647
경산과학고등학교,경상북도 경산시 화랑로 66,35.82202009,128.7688881
경산여자고등학교,경상북도 경산시 경산로 91,35.8177642,128.7299454
경산제일고등학교,경상북도 경산시 자인면 원효로 851-16,35.81597735,128.8278499
경상고등학교,경상남도 창원시 의창구 금강로379번길 46,35.26096745,128.6005154
경상고등학교,대구광역시 북구 공항로15길 24,35.90189918,128.621534
경상공업고등학교,대구광역시 남구 대경길 151,35.8452186,128.5741961
경상국립대학교사범대학부설고등학교,경상남도 진주시 가좌길29번길 63,35.1589968,128.0965348
경상여자고등학교,대구광역시 북구 침산남로9길 164,35.90054196,128.5878439
경성고등학교,서울특별시 마포구 성미산로 111,37.56351064,126.9191663
경성전자고등학교,부산광역시 서구 꽃마을로 25,35.11658597,129.0124449
경신고등학교,대구광역시 수성구 달구벌대로504길 34,35.85548176,128.6375875
경신고등학교,서울특별시 종로구 혜화로 74,37.59222582,126.999531
경안고등학교,경상북도 안동시 제비원로 182,36.56850446,128.7204749
경안고등학교,경기도 안산시 단원구 당곡로 93,37.32519093,126.8349272
경안여자고등학교,경상북도 안동시 경동로 205-34,36.57650803,128.6833866
경원고등학교,대구광역시 달서구 새방로 77,35.86547932,128.525679
경원고등학교,부산광역시 부산진구 백양관문로 40,35.16371025,129.0318871
경인고등학교,서울특별시 구로구 경인로46길 31,37.49599268,126.8654289
경일고등학교,경상북도 안동시 치이골길 46,36.57569842,128.7378295
경일고등학교,서울특별시 성동구 성수일로 27,37.54382982,127.0478683
경일고등학교,부산광역시 강서구 영강길 153-42,35.11248236,128.9224148
경일관광경영고등학교,경기도 안산시 단원구 석수로 131,37.34794915,126.8049706
경일여자고등학교,대구광역시 남구 효성로 37,35.83640873,128.5968171
경주고등학교,경상북도 경주시 원효로 231,35.84315899,129.2266104
경주공업고등학교,경상북도 경주시 금성로 209,35.83555575,129.2051046
경주디자인고등학교,경상북도 경주시 현곡면 용담로 694,35.90034715,129.1632696
경주여자고등학교,경상북도 경주시 금성로 437,35.85752337,129.2051264
경주여자정보고등학교,경상북도 경주시 시동로 90,35.77338342,129.2898895
경주예일고등학교,경상북도 경주시 안강읍 화전길 62-8,35.9933896,129.2108269
경주정보고등학교,경상북도 경주시 충효7길 19,35.84182328,129.1763
경주화랑고등학교,경상북도 경주시 양북면 장항재동길 41,35.7943324,129.3876997
경진고등학교,경상남도 진주시 의병로71번길 3-21,35.20041487,128.0663566
경포고등학교,강원도 강릉시 강릉대로547번길 14,37.78170517,128.9160576
경해여자고등학교,경상남도 진주시 남강로 39,35.16517107,128.0417097
경혜여자고등학교,부산광역시 북구 시랑로21번길 138,35.20418761,129.0105038
경화여자English Business고등학교,경기도 광주시 수하길11번길 43,37.41824307,127.2639914
경화여자고등학교,대구광역시 달서구 당산로30길 20,35.84839511,128.5486078
경화여자고등학교,경기도 광주시 수하길11번길 43,37.41824307,127.2639914
